Date,Open,High,Low,Close,Volume,Adj Close
3/14/16,8019.399902,8053.299805,7997.799805,8018.399902,48255900,8018.399902
3/11/16,7987.899902,8005.399902,7953.600098,7998.399902,58878500,7998.399902
3/10/16,7968.200195,8095.399902,7893.700195,7893.700195,77751000,7893.700195
3/9/16,7946.799805,8031.200195,7937.600098,7975.799805,59340300,7975.799805
3/8/16,7954.200195,8013.100098,7931.700195,7971.200195,59789200,7971.200195
3/7/16,7964.600098,8022.899902,7935,8019.100098,51034000,8019.100098
3/4/16,7970.299805,8015.5,7921.399902,7982.600098,64325700,7982.600098
3/3/16,8000.200195,8007,7944.5,7950.799805,63241900,7950.799805
3/2/16,7994.399902,8039.899902,7955.700195,8039.899902,71666500,8039.899902
3/1/16,7823.700195,7963.299805,7810.5,7962.200195,56435500,7962.200195
2/29/16,7789.600098,7862.200195,7762.5,7843.600098,55951800,7843.600098
2/26/16,7858.799805,7922,7841.5,7877,58111000,7877
2/25/16,7803,7816,7717.899902,7794.100098,0,7794.100098
2/24/16,7795.299805,7808.100098,7641,7689.600098,66577600,7689.600098
2/23/16,7923,7926.100098,7793.299805,7807,57453700,7807
2/22/16,7926.399902,7996.100098,7923.600098,7961.5,50127600,7961.5
2/19/16,7871.799805,7920.899902,7817.799805,7863.399902,93101900,7863.399902
2/18/16,7898,7984.299805,7863.399902,7916.600098,76294900,7916.600098
2/17/16,7880.899902,7968.299805,7850.100098,7946.200195,59934900,7946.200195
2/16/16,7886.700195,7904.399902,7762.100098,7813.799805,59557800,7813.799805
2/15/16,7803.200195,7881.399902,7782.5,7848.299805,59095900,7848.299805
2/12/16,7552.5,7656.600098,7542.100098,7656.600098,78358200,7656.600098
2/11/16,7614.100098,7624,7425.100098,7496.600098,0,7496.600098
2/10/16,7624.399902,7800.100098,7581.600098,7731.899902,96283700,7731.899902
2/9/16,7771.299805,7792,7541,7583.299805,108442300,7583.299805
2/8/16,7989.200195,7989.5,7736.5,7759.200195,79129300,7759.200195
2/5/16,8003.5,8074.100098,7959.700195,7960.100098,74747000,7960.100098
2/4/16,8160.200195,8162.5,7935.799805,8003.399902,113985800,8003.399902
2/3/16,8219.900391,8249.099609,8051.299805,8123.700195,83815900,8123.700195
2/2/16,8268.099609,8279.799805,8142.399902,8197,91753000,8197
2/1/16,8375,8381.099609,8245.599609,8311,53264800,8311
1/29/16,8220,8319.799805,8214.799805,8319.799805,71160800,8319.799805
1/28/16,8258.5,8307.700195,8107.600098,8153.299805,66976000,8153.299805
1/27/16,8241.900391,8322.700195,8216,8322.700195,62769900,8322.700195
1/26/16,8155.399902,8328.099609,8120.600098,8314.5,52762100,8314.5
1/25/16,8296.400391,8301,8190.600098,8253.299805,44416300,8253.299805
1/22/16,8179,8308.299805,8163.200195,8271.099609,56839900,8271.099609
1/21/16,8008.5,8135.899902,7977.899902,8035.100098,72697900,8035.100098
1/20/16,8073,8077.700195,7935.5,7966.299805,70471400,7966.299805
1/19/16,8214.700195,8277.799805,8187.799805,8223.799805,48653900,8223.799805
1/18/16,8128.5,8216.799805,8076.100098,8099.100098,46398200,8099.100098
1/15/16,8270.700195,8303.700195,8056.5,8107.100098,75861200,8107.100098
1/14/16,8339.799805,8349.900391,8175,8305.5,68151600,8305.5
1/13/16,8411.599609,8487.599609,8386.900391,8414.799805,48467900,8414.799805
1/12/16,8199.200195,8398,8192.599609,8332,55007900,8332
1/11/16,8221,8317.200195,8202.700195,8213.5,57591600,8213.5
1/8/16,8446.900391,8475.900391,8257.299805,8257.299805,64996800,8257.299805
1/7/16,8443.5,8480.299805,8326.799805,8449.900391,62585600,8449.900391
1/6/16,8720.400391,8720.400391,8560.400391,8613.400391,43968800,8613.400391
1/5/16,8705.900391,8730.099609,8601.099609,8701.5,39686200,8701.5
1/4/16,8705.599609,8714.299805,8593.900391,8656.299805,48337700,8656.299805
12/30/15,8906.200195,8908.5,8818.099609,8818.099609,27648600,8818.099609
12/29/15,8791,8886.400391,8781.299805,8883,28963400,8883
12/28/15,8724.900391,8779.200195,8686.900391,8739.400391,22494900,8739.400391
12/23/15,8628.900391,8730.400391,8607.099609,8705.700195,35993200,8705.700195
12/22/15,8579,8610.299805,8513.799805,8515.799805,33316000,8515.799805
12/21/15,8624.400391,8681.799805,8544.400391,8544.400391,38406300,8544.400391
12/18/15,8607.700195,8663,8598.099609,8608.900391,106966400,8608.900391
12/17/15,8757.099609,8794.599609,8632.099609,8656.299805,55886000,8656.299805
12/16/15,8591.799805,8657.700195,8565.700195,8604.099609,53879600,8604.099609
12/15/15,8424.700195,8591.200195,8424.700195,8581.599609,57512100,8581.599609
12/14/15,8538.700195,8562.799805,8375.299805,8375.299805,54880300,8375.299805
12/11/15,8606,8641.5,8477.799805,8502.099609,57406000,8502.099609
12/10/15,8585.700195,8669.299805,8546.5,8632.599609,48679100,8632.599609
12/9/15,8724.200195,8737.700195,8596.599609,8625,54247300,8625
12/8/15,8814.5,8821,8658.099609,8701.200195,49656300,8701.200195
12/7/15,8831.299805,8933.099609,8812.5,8825.299805,37903900,8825.299805
12/4/15,8799.5,8817.200195,8743.599609,8802.900391,58722200,8802.900391
12/3/15,8982.400391,9042.599609,8828.700195,8852.099609,65525100,8852.099609
12/2/15,9023.400391,9053.5,8999.099609,9016.599609,44065900,9016.599609
12/1/15,9011,9029.400391,8936.700195,8993.200195,57193700,8993.200195
11/30/15,8987.599609,9048,8957.900391,8993.099609,62398400,8993.099609
11/27/15,8942.299805,9030,8903.700195,9003,40172400,9003
11/26/15,8939,8982.900391,8935.099609,8968.299805,0,8968.299805
11/25/15,8830.900391,8982.799805,8804.799805,8934.5,61704100,8934.5
11/24/15,8891.900391,8895.5,8761.5,8808.5,61857300,8808.5
11/23/15,8957.799805,8957.799805,8901.099609,8924.400391,47963800,8924.400391
11/20/15,9043.299805,9047,8973.700195,9015.799805,46694600,9015.799805
11/19/15,9016.200195,9080.599609,8987.200195,9008.700195,0,9008.700195
11/18/15,8921,8999.5,8904,8991,39486700,8991
11/17/15,8787.599609,8956.299805,8781.700195,8952.599609,46355400,8952.599609
11/16/15,8697.299805,8768.700195,8695,8727.099609,40104600,8727.099609
11/13/15,8818.200195,8821.400391,8699.799805,8749.799805,46259600,8749.799805
11/12/15,8890.400391,8929,8755.099609,8816.900391,44739000,8816.900391
11/11/15,8856.700195,8950.400391,8851.599609,8884.599609,35327500,8884.599609
11/10/15,8900,8900.099609,8806.400391,8849.799805,37192700,8849.799805
11/9/15,8968.099609,8970,8876.700195,8876.700195,39330200,8876.700195
11/6/15,8970.299805,9014.299805,8917.200195,8970.299805,50172000,8970.299805
